Código,Descrição
EM13CO01,- Explorar e construir a  solução de problemas por meio da  reutilização de partes de soluções  existentes.
EM13CO05,Identificar os limites da
EM13CO21,"Comunicar ideias  complexas de forma clara por meio de  objetos digitais como mapas  conceituais, infográficos, hipertextos e  outros."
EM13CO24,Identificar e reconhecer  como as redes sociais e artefatos  computacionais em geral interferem na  saúde física e mental de seus usuários.
EM13CO25,"Dialogar em ambientes  virtuais com segurança e respeito às  diferenças culturais e pessoais,  reconhecendo e denunciando atitudes  abusivas.  ✔ Aplicar conhecimentos para o  desenvolvimento de atividades ou de  projetos diversos em práticas das  manifestações artísticas (saraus, cine - debate, virada cultural, mostras  individuais e colaborativas) e atividades  artísticas como exposições de arte,  festivais, espetáculos, performance,  concertos, recitais, intervenção e  happening etc.).  ✔ Interagir com a diversidade de  linguagens presentes nos diferentes  contextos que permeiam a vida social,  familiar, escolar, comunitário, midiático,  entre outros.  ✔ Explorar e experimentar as linguagens  do Teatro, Dança e Música (como  samba, maracatu, jongo, capoeira) de  matriz afro -brasileira, compreendendo  o seu caráter integrador e a sua função  como veículo de memória e história de  resistência.  • Planejamento, produção,  experimentação, pesquisa e utilização  de práticas individuais e coletivas,  performances artísticas,  produção/recepção de artigos de  opinião, práticas da cultura oral,  corporal, apreciação de obras, etc."
EM13CO07,"Compreender as  diferentes tecnologias, bem como  equipamentos, protocolos e serviços  envolvidos no funcionamento de redes  de computadores, identificando suas  possibilidades de escala e  confiabilidade.  ✔ Reconhecer a linguagem da Arte como  propulsora de conhecimento para ser  capaz de produzir e interpretar  criticamente a realidade do seu entorno  através de textos e discursos.  ✔ Analisar práticas artísticas e seu  processo de produção para intervir de  forma crítica no contexto local, nacional  e global.  ✔ Demonstrar que no corpo inscrevem-se  narrativas, que marcam e se  materializam, a partir de fragmentos,  representações, imaginários e  simbolismos, tanto a história individual  do sujeito, como as memórias coletivas  de uma população, mediado pela  cultura.  ✔ Analisar como os recursos estéticos,  técnicos e expressivos da cultura negra  são usados para construir significado  (identidade, história, resistência) e  como são distorcidos ou silenciados em  mídias hegemônicas.  • Fundamentos das linguagens –"
EM13CO13,Analisar e utilizar as  diferentes formas de representação e  consulta a dados em formato digital  para pesquisas científicas.
EM13CO14,"Avaliar a confiabilidade  das informações encontradas em meio  digital, investigando seus modos de  construção e considerando a autoria, a  estrutura e o propósito da mensagem."
EM13CO24,"Identificar e reconhecer  como as redes sociais e artefatos  computacionais em geral interferem na  saúde física e mental de seus usuários.  ✔ Reconhecer as práticas dos  profissionais das linguagens artísticas  como uma ligação entre a vida  cotidiana e a cultura local, para a  construção da identidade e do exercício  da cidadania do estudante.  ✔ Analisar o papel de protagonismo e  autoria dos Mestres e Mestras do Sabe"
EM13CO18,"Planejar e gerenciar  projetos integrados às áreas de  conhecimento de forma colaborativa,  solucionando problemas, usando  diversos artefatos computacionais.  ✔ Defender as práticas artísticas como um  conhecimento que constitui um acervo  cultural o qual toda comunidade em  geral possa ter acesso, como um  direito, colaborando para uma boa  saúde mental, facilitando os processos  • Consciência ambiental em espaços  públicos e privados.  • Arte ecológica."
EM13CO26,"Aplicar os conceitos e  pressupostos do direito digital em sua  conduta e experiências com o cotidiano  da cultura digital, bem como na  produção e uso de artefatos  computacionais.  de socialização, comunicação,  expressão e construção do  conhecimento para uma consciência  socioambiental e de consumo  responsável em âmbito local, regional e  global.  ✔ Elaborar e veicular propostas artísticas  interativas (visuais, cênicas ou digitais)  que analisem e proponham soluções  éticas para questões socioambientais e  de consumo em âmbito local e regional,  utilizando o acervo cultural afro - brasileiro e quilombola co mo  referência para a sustentabilidade  e o uso responsável dos recursos.  ✔ Tomar decisões criativas que reforcem  a soberania cultural e econômica das  comunidades tradicionais.  • Projetos e propostas de intervenção nas  diversas manifestações artísticas de forma  consciente.  • História da arte como celeiro de ideias de  intervenção."
EM13CO18,"Planejar e gerenciar  projetos integrados às áreas de  conhecimento de forma colaborativa,  solucionando problemas, usando  diversos artefatos computacionais."
EM13CO24,"Identificar e reconhecer  como as redes sociais e artefatos  ✔ Analisar como a paisagem urbana  influencia a identidade dos indivíduos e  das comunidades locais, conectando  essas percepções a formas de  expressões artísticas que refletem e  capturam aspectos da vida urbana e  das interações sociais.  ✔ Estudar obras de artistas locais que  abordam temas relacionados à cidade,  identidade e relações sociais,  identificando questões sociais,  • Cidade e identidade: paisagem local e as  relações sociais expressas em poéticas  artísticas;  • Arquitetura, urbanismo e memória.   • Arte pública e ação social;  • Intervenção artística urbana;  • Cultura e identidade: a relação histórica  entre o território de comunidades  tradicionais e a construção artística local."
EM13CO20,"Criar conteúdos,  disponibilizando-os em ambientes  virtuais para publicação e  compartilhamento, avaliando a  confiabilidade e as consequências da  disseminação dessas informações.  ✔ Analisar a materialidade em Arte e  utilizar suas possibilidades em  processos de criações autorais nas  linguagens das artes visuais, da música,  do teatro, da dança e das artes  integradas, no contexto local e de  outras culturas.  • Materialidade nas artes visuais.  • Práticas artísticas autorais nas diversas  linguagens da arte.  • Estética e história da arte."
EM13CO22,"Produzir e publicar  conteúdo como textos, imagens,  ✔ Expressar-se através das diversas  manifestações artísticas,  ressignificando sua prática no contexto  local em processos criativos que tenha  impacto na vida dos estudantes, nos  processos de naturezas diversas  (artísticos, históricos, sociais, ancestrais  e políticos).  ✔ Contribuir para o aprimoramento das"
EM13CO26,"Aplicar os conceitos e  pressupostos do direito digital em sua  conduta e experiências com o cotidiano  da cultura digital, bem como na  produção e uso de artefatos  computacionais.  cidadãos críticos, participativos e  responsáveis em diversas linguagens.  ✔ Inferir que as práticas das Linguagens  da Arte, possibilita novas formas de  expressão e comunicação com outras  linguagens, contribuindo para  aprimoramento das habilidades  básicas, no desenvolvimento das  potencialidades humanas e sua relação  com o mundo.  ✔ Identificar e analisar o processo de  construção histórica e as dimensões  social e cultural das práticas artísticas"
EM13CO21,"Comunicar ideias  complexas de forma clara por meio de  objetos digitais como mapas conceituais,  infográficos, hipertextos e outros."
EM13CO25,"Dialogar em ambientes  virtuais com segurança e respeito às  diferenças culturais e pessoais,  reconhecendo e denunciando atitudes  abusivas.  ✔ Relacionar discursos e atos de linguagem  (linguísticos, multimodais, produções  artísticas, práticas da cultura corporal) a  seus contextos de produção e circulação.  ✔ Analisar usos de recursos expressivos  (linguísticos, gestuais, artísticos,  multissemióticos) e seus efeitos de  sentidos.  ✔ Analisar o contexto de produção de  diferentes gêneros em diferentes campos  de atuação, na leitura, escrita, escuta,  apreciação e produção de textos.  • Condições de produção, circulação  e recepção de discursos e atos de  linguagem.  • Réplica (posicionamento  responsável em relação à temas,  visões de mundo e ideologias  veiculados por diversos meios de  comunicação).  • Recursos expressivos e seus efeitos  de sentidos.  • Reconstrução das condições de  produção, circulação e recepção de  textos."
EM13CO08,"Entender como mudanças  na tecnologia afetam a segurança,  incluindo novas maneiras de preservar  sua privacidade e dados pessoais on-line,  ✔ Analisar os contextos de produção,  circulação e recepção de práticas com as  diferentes linguagens.  ✔ Relacionar discursos e atos de linguagem  (linguísticos, multimodais, produções  • Compreensão geral e específica de  textos (orais, escritos,  multissemióticos); relação entre  textos e contextos de produção."
EM13CO19,"Expor, argumentar e  negociar propostas, produtos e serviços,  utilizando diferentes mídias e  ferramentas digitais."
EM13CO25,"Dialogar em ambientes  virtuais com segurança e respeito às  diferenças culturais e pessoais,  reconhecendo e denunciando atitudes  abusivas.  artísticas, práticas da cultura corporal) a  grupos e seus valores.  • Relação entre textos e contextos de  produção.  • Manifestações identitárias e marcas  linguísticas de filiação a  determinadas formações  discursivas."
EM13CO01,Explorar e construir a solução de  problemas por meio da reutilização de partes de  soluções existentes.
EM13CO07,"Compreender as diferentes tecnologias,  bem como equipamentos, protocolos e serviços  envolvidos no funcionamento de redes de  computadores, identificando suas possibilidades de  escala e confiabilidade."
EM13CO11,"Criar e explorar modelos  computacionais simples para simular e fazer  previsões, identificando sua importância no  desenvolvimento científico."
EM13CO16,"Desenvolver projetos com robótica,  utilizando artefatos físicos ou simuladores."
EM13CO21,"Comunicar ideias complexas de forma  clara por meio de objetos digitais como mapas  conceituais, infográficos, hipertextos e outros."
EM13CO24,"Identificar e reconhecer como as redes  sociais e artefatos computacionais em geral  interferem na saúde física e mental de seus usuários.  ✔ Analisar processos  contemporâneos de  produção textual, com  estratégias de remidiação,  multimídia e transmídia."
EM13CO05,"Identificar os limites da Computação para  diferenciar o que pode ou não ser automatizado,  buscando uma compreensão mais ampla dos limites  dos processos mentais envolvidos na resolução de  problemas."
EM13CO24,Identificar e reconhecer como as redes  sociais e artefatos computacionais em geral interferem  na saúde física e mental de seus usuários.
EM13CO25,"Dialogar em ambientes virtuais com  segurança e respeito às diferenças culturais e pessoais,  reconhecendo e denunciando atitudes abusivas.  ✔ Analisar usos de  recursos expressivos  (linguísticos, gestuais,  artísticos,  multissemióticos) e  seus efeitos de  sentidos.  ✔ Analisar o contexto de  produção de diferentes  gêneros em diferentes  campos de atuação, na  leitura, escrita, escuta,  apreciação e produção  de textos."
EM13CO05,"Identificar os  limites da Computação para  diferenciar o que pode ou não ser  automatizado, buscando uma  compreensão mais ampla dos  limites dos processos mentais  envolvidos na resolução de  problemas.  ✔ Analisar fatores históricos, econômicos, técnicos e  sociais no processo de normatização da língua  portuguesa, da língua inglesa de não nativos, das  práticas corporais e das linguagens artísticas.  ✔ Relacionar diferentes atores e seus discursos à  legitimação das diferentes práticas de linguagem.  • Reconstrução das condições de  produção, circulação e recepção de  discursos e atos de linguagens nas  práticas das diferentes linguagens,  inclusive as menos valorizadas.  • Apreciação, experimentação e réplica.  • Relação entre discursos, textos, atos de  linguagem e processos de legitimação de  práticas das diferentes linguagens.  • Competência de área 2 (ENEM): Conhecer e usar língua(s) estrangeira(s) moderna(s) como instrumento de acesso a informações e a outras culturas e grupos sociais."
EM13CO07,"Compreender as diferentes  tecnologias, bem como equipamentos,  protocolos e serviços envolvidos no  funcionamento de redes de computadores,  identificando suas possibilidades de escala  e confiabilidade.  ✔ Desenvolver a capacidade de realizar  uma análise crítica de discursos  políticos em vídeos em língua inglesa.   ✔ Analisar campanhas publicitárias em  língua inglesa que empreguem  múltiplas formas de mídia e  identificar o sentido da publicação.  • Análise crítica de um discurso político em  vídeo em língua inglesa por meio da  exploração do repertório lexical e a estrutura  da língua, interpretando as escolhas  linguísticas e visuais utilizadas no discurso.   • Análise de campanhas publicitárias em língua  inglesa que utilizem múltiplas formas de  mídia, como imagens, texto e áudio por meio  da análise do repertório  lexical presente nas  mensagens publicitárias, interpretando como  diferentes semioses contribuem para a  construção do significado."
